idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,0,0,-0.0,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
1,0.05,0,0,-0.15000000000000002,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
2,0.1,0,0,-0.30000000000000004,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
3,0.15000000000000002,0,0,-0.45000000000000007,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
4,0.2,0,0,-0.6000000000000001,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
5,0.25,0,0,-0.75,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
6,0.30000000000000004,0,0,-0.9000000000000001,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
7,0.35000000000000003,0,0,-1.05,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
8,0.4,0,0,-1.2000000000000002,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
9,0.45,0,0,-1.35,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
10,0.5,0,0,-1.5,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
11,0.55,0,0,-1.6500000000000001,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
12,0.6000000000000001,0,0,-1.8000000000000003,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
13,0.65,0,0,-1.9500000000000002,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
14,0.7000000000000001,0,0,-2.1,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
15,0.75,0,0,-2.25,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
16,0.8,0,0,-2.4000000000000004,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
17,0.8500000000000001,0,0,-2.5500000000000003,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
18,0.9,0,0,-2.7,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
19,0.9500000000000001,0,0,-2.85,0.0,0.0,-3.0,0,0,0,0,10,0,0,0
19,0.9500000000000001,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
20,1.0,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
21,1.05,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
22,1.1,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
23,1.1500000000000001,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
24,1.2000000000000002,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
25,1.25,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
26,1.3,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
27,1.35,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
28,1.4000000000000001,0,0,-2.85,0,0,0,0,0,0,0,20,0,0,0
29,1.4500000000000002,0.0,0.0,-2.85,0.0,0.0,-1.5,0,0,0,0,30,0,0,0
30,1.55,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
31,1.6,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
32,1.6500000000000001,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
33,1.7000000000000002,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
34,1.75,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
35,1.8,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
36,1.85,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
37,1.9000000000000001,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
38,1.9500000000000002,0,0,-3,0,0,0,0,0,0,0,40,0,0,0
